Session,Frame,LeftPlayerMotion,RightPlayerMotion
S23,1,5075,7625
S23,2,5990,5640
S23,3,6645,5021
S23,4,6645,2158
S23,5,6606,1686
S23,6,6153,1956
S23,7,5899,1397
S23,8,5474,409
S23,9,4884,351
S23,10,4326,299
S23,11,3976,215
S23,12,3616,100
S23,13,3272,177
S23,14,3157,486
S23,15,2857,941
S23,16,2527,1708
S23,17,2436,2066
S23,18,2473,2048
S23,19,2467,2093
S23,20,2341,2218
S23,21,2327,2428
S23,22,2258,2693
S23,23,2270,2511
S23,24,2427,2378
S23,25,2735,2430
S23,26,3047,2066
S23,27,3290,1115
S23,28,3825,592
S23,29,4557,814
S23,30,4731,1374
S23,31,3980,1850
S23,32,3264,1812
S23,33,2739,1783
S23,34,2972,1555
S23,35,3296,961
S23,36,3753,676
S23,37,4412,678
S23,38,5079,557
S23,39,5662,458
S23,40,5871,529
S23,41,5878,537
S23,42,5587,523
S23,43,5253,644
S23,44,4844,577
S23,45,4424,523
S23,46,3916,471
S23,47,3369,460
S23,48,2629,403
S23,49,1839,531
S23,50,1982,694
S23,51,2327,925
S23,52,2727,981
S23,53,3570,1075
S23,54,4225,1223
S23,55,4349,1364
S23,56,4385,1363
S23,57,4213,1393
S23,58,3710,1238
S23,59,3001,1107
S23,60,3072,967
S23,61,2986,664
S23,62,2596,374
S23,63,2484,311
S23,64,2744,313
S23,65,3365,346
S23,66,3805,304
S23,67,3606,807
S23,68,2976,1566
S23,69,2991,1912
S23,70,2730,2396
S23,71,2380,2215
S23,72,1673,1385
S23,73,1446,1780
S23,74,1204,1955
S23,75,813,1559
S23,76,678,1588
S23,77,551,1428
S23,78,315,1159
S23,79,112,755
S23,80,32,566
S23,81,221,552
S23,82,322,564
S23,83,215,606
S23,84,125,597
S23,85,90,155
S23,86,94,119
S23,87,83,162
S23,88,70,170
S23,89,10,94
S23,90,0,180
S23,91,0,265
S23,92,0,326
S23,93,36,397
S23,94,6,399
S23,95,0,441
S23,96,30,445
S23,97,62,441
S23,98,0,390
S23,99,0,425
S23,100,0,242
S23,101,0,185
S23,102,0,106
S23,103,0,69
S23,104,0,56
S23,105,0,10
S23,106,0,102
S23,107,0,448
S23,108,0,661
S23,109,0,415
S23,110,0,731
S23,111,0,1606
S23,112,0,1749
S23,113,0,848
S23,114,0,394
S23,115,0,361
S23,116,0,101
S23,117,0,215
S23,118,0,355
S23,119,0,267
S23,120,0,82
S23,121,0,65
S23,122,0,172
S23,123,0,155
S23,124,0,134
S23,125,0,288
S23,126,5,359
S23,127,0,410
S23,128,0,482
S23,129,0,623
S23,130,0,843
S23,131,0,1049
S23,132,0,1119
S23,133,0,1269
S23,134,0,1123
S23,135,0,449
S23,136,0,233
S23,137,0,231
S23,138,0,579
S23,139,0,589
S23,140,0,427
S23,141,0,185
S23,142,0,260
S23,143,0,336
S23,144,0,344
S23,145,0,171
S23,146,0,158
S23,147,0,122
S23,148,0,145
S23,149,0,44
S23,150,0,134
S23,151,0,80
S23,152,0,109
S23,153,0,13
S23,154,0,5
S23,155,0,0
S23,156,0,22
S23,157,0,30
S23,158,0,0
S23,159,0,52
S23,160,0,70
S23,161,0,50
S23,162,0,88
S23,163,0,88
S23,164,0,235
S23,165,0,504
S23,166,0,354
S23,167,0,115
S23,168,0,308
S23,169,0,294
S23,170,0,156
S23,171,0,108
S23,172,0,254
S23,173,0,121
S23,174,0,104
S23,175,0,288
S23,176,0,328
S23,177,0,206
S23,178,0,206
S23,179,0,375
S23,180,0,341
S23,181,0,311
S23,182,0,190
S23,183,0,282
S23,184,0,326
S23,185,0,207
S23,186,0,444
S23,187,0,401
S23,188,0,244
S23,189,0,402
S23,190,0,370
S23,191,0,600
S23,192,0,977
S23,193,0,1260
S23,194,0,1387
S23,195,0,1037
S23,196,0,298
S23,197,0,169
S23,198,0,365
S23,199,0,214
S23,200,0,88
S23,201,0,125
S23,202,0,233
S23,203,0,254
S23,204,0,480
S23,205,0,291
S23,206,0,55
S23,207,0,98
S23,208,0,185
S23,209,0,155
S23,210,0,131
S23,211,0,25
S23,212,0,47
S23,213,0,120
S23,214,0,126
S23,215,0,75
S23,216,0,181
S23,217,0,347
S23,218,0,241
S23,219,0,295
S23,220,0,250
S23,221,0,94
S23,222,0,17
S23,223,0,70
S23,224,0,211
S23,225,0,106
S23,226,0,127
S23,227,0,147
S23,228,0,172
S23,229,0,358
S23,230,0,391
S23,231,0,402
S23,232,0,511
S23,233,0,672
S23,234,0,399
S23,235,0,10
S23,236,0,23
S23,237,0,11
S23,238,0,1
S23,239,64,1
S23,240,42,45
S23,241,0,16
S23,242,11,46
S23,243,10,159
S23,244,0,234
S23,245,0,204
S23,246,0,259
S23,247,0,256
S23,248,0,282
S23,249,0,288
S23,250,0,156
S23,251,0,42
S23,252,0,1
S23,253,0,10
S23,254,0,28
S23,255,0,56
S23,256,0,152
S23,257,0,247
S23,258,0,181
S23,259,0,260
S23,260,0,368
S23,261,0,526
S23,262,0,652
S23,263,0,411
S23,264,0,551
S23,265,0,740
S23,266,0,312
S23,267,0,53
S23,268,0,13
S23,269,0,61
S23,270,0,108
S23,271,0,111
S23,272,0,177
S23,273,0,233
S23,274,0,290
S23,275,0,248
S23,276,0,266
S23,277,0,226
S23,278,0,204
S23,279,0,101
S23,280,0,49
S23,281,0,53
S23,282,0,46
S23,283,0,28
S23,284,0,2
S23,285,0,6
S23,286,0,20
S23,287,0,46
S23,288,0,1
S23,289,0,0
S23,290,0,0
S23,291,0,2
S23,292,0,3
S23,293,0,9
S23,294,0,15
S23,295,0,0
S23,296,0,0
S23,297,0,1
S23,298,0,18
S23,299,0,0
S23,300,0,0
S23,301,0,0
S23,302,0,0
S23,303,0,0
S23,304,0,0
S23,305,0,0
S23,306,0,5
S23,307,0,3
S23,308,0,3
S23,309,0,21
S23,310,0,71
S23,311,0,160
S23,312,0,263
S23,313,0,296
S23,314,0,237
S23,315,0,243
S23,316,0,319
S23,317,535,354
S23,318,1086,109
S23,319,1229,380
S23,320,965,208
S23,321,702,83
S23,322,376,21
S23,323,132,394
S23,324,10,446
S23,325,0,536
S23,326,0,673
S23,327,0,983
S23,328,0,1102
S23,329,1,1027
S23,330,9,1172
S23,331,39,1055
S23,332,123,894
S23,333,264,394
S23,334,319,283
S23,335,390,180
S23,336,379,153
S23,337,349,160
S23,338,264,65
S23,339,193,76
S23,340,96,68
S23,341,18,78
S23,342,0,44
S23,343,0,51
S23,344,0,6
S23,345,0,71
S23,346,0,30
S23,347,0,28
S23,348,0,13
S23,349,0,14
S23,350,0,37
S23,351,0,14
S23,352,0,0
S23,353,0,0
S23,354,0,0
S23,355,0,0
S23,356,0,0
S23,357,0,0
S23,358,0,0
S23,359,0,0
S23,360,0,0
S23,361,0,0
S23,362,0,0
S23,363,0,10
S23,364,0,0
S23,365,0,0
S23,366,0,0
S23,367,0,1
S23,368,0,0
S23,369,0,0
S23,370,0,0
S23,371,0,1
S23,372,0,66
S23,373,0,2
S23,374,0,30
S23,375,0,16
S23,376,0,1
S23,377,0,74
S23,378,0,285
S23,379,0,349
S23,380,0,378
S23,381,0,458
S23,382,0,600
S23,383,0,614
S23,384,0,554
S23,385,0,457
S23,386,0,472
S23,387,0,510
S23,388,0,296
S23,389,0,55
S23,390,0,9
S23,391,0,203
S23,392,0,362
S23,393,0,556
S23,394,0,758
S23,395,0,602
S23,396,0,487
S23,397,0,551
S23,398,0,291
S23,399,0,370
S23,400,0,323
S23,401,0,93
S23,402,0,162
S23,403,0,177
S23,404,0,507
S23,405,0,1024
S23,406,0,975
S23,407,0,665
S23,408,0,601
S23,409,0,433
S23,410,0,168
S23,411,0,70
S23,412,0,52
S23,413,0,240
S23,414,0,437
S23,415,0,416
S23,416,0,534
S23,417,0,540
S23,418,0,513
S23,419,0,408
S23,420,0,319
S23,421,0,286
S23,422,0,193
S23,423,0,181
S23,424,0,48
S23,425,0,90
S23,426,0,312
S23,427,0,773
S23,428,0,1185
S23,429,0,1052
S23,430,0,494
S23,431,0,318
S23,432,0,229
S23,433,0,61
S23,434,0,80
S23,435,0,54
S23,436,0,42
S23,437,0,32
S23,438,0,153
S23,439,0,134
S23,440,0,232
S23,441,0,317
S23,442,0,455
S23,443,62,513
S23,444,342,594
S23,445,450,670
S23,446,51,384
S23,447,0,114
S23,448,128,52
S23,449,534,12
S23,450,578,177
S23,451,249,647
S23,452,73,1016
S23,453,0,1199
S23,454,0,741
S23,455,0,469
S23,456,0,186
S23,457,1,24
S23,458,0,46
S23,459,0,189
S23,460,0,231
S23,461,0,410
S23,462,0,457
S23,463,0,442
S23,464,0,425
S23,465,0,357
S23,466,0,354
S23,467,0,124
S23,468,0,54
S23,469,0,137
S23,470,0,87
S23,471,0,16
S23,472,0,172
S23,473,0,401
S23,474,0,446
S23,475,0,760
S23,476,0,1385
S23,477,0,1460
S23,478,0,877
S23,479,0,640
S23,480,0,307
S23,481,0,290
S23,482,0,501
S23,483,0,820
S23,484,0,908
S23,485,0,941
S23,486,0,930
S23,487,0,756
S23,488,0,267
S23,489,0,104
S23,490,0,35
S23,491,0,56
S23,492,0,69
S23,493,0,284
S23,494,0,205
S23,495,0,221
S23,496,0,82
S23,497,0,165
S23,498,0,426
S23,499,0,236
S23,500,0,148
S23,501,0,56
S23,502,0,195
S23,503,0,269
S23,504,0,120
S23,505,0,103
S23,506,0,132
S23,507,0,377
S23,508,0,572
S23,509,0,757
S23,510,0,654
S23,511,0,639
S23,512,0,852
S23,513,0,881
S23,514,0,550
S23,515,0,531
S23,516,0,554
S23,517,0,467
S23,518,0,209
S23,519,0,174
S23,520,0,349
S23,521,0,607
S23,522,0,931
S23,523,0,1087
S23,524,0,584
S23,525,0,437
S23,526,0,1139
S23,527,0,719
S23,528,0,619
S23,529,0,1058
S23,530,0,1732
S23,531,0,1696
S23,532,0,934
S23,533,0,280
S23,534,0,225
S23,535,0,162
S23,536,0,329
S23,537,0,415
S23,538,0,548
S23,539,0,894
S23,540,0,1016
S23,541,0,1078
S23,542,0,1681
S23,543,0,1353
S23,544,0,101
S23,545,0,883
S23,546,0,1223
S23,547,0,982
S23,548,0,548
S23,549,0,288
S23,550,0,28
S23,551,0,185
S23,552,0,421
S23,553,0,508
S23,554,0,359
S23,555,0,463
S23,556,0,829
S23,557,0,877
S23,558,0,463
S23,559,0,395
S23,560,0,779
S23,561,0,987
S23,562,0,933
S23,563,0,552
S23,564,0,71
S23,565,0,77
S23,566,0,139
S23,567,0,319
S23,568,0,263
S23,569,0,320
S23,570,0,815
S23,571,0,1191
S23,572,0,943
S23,573,0,36
S23,574,0,261
S23,575,0,680
S23,576,0,1129
S23,577,0,706
S23,578,0,76
S23,579,0,302
S23,580,0,300
S23,581,0,211
S23,582,0,205
S23,583,0,340
S23,584,0,400
S23,585,0,648
S23,586,0,852
S23,587,0,248
S23,588,0,365
S23,589,0,819
S23,590,0,1070
S23,591,0,943
S23,592,0,34
S23,593,0,461
S23,594,0,389
S23,595,0,136
S23,596,0,114
S23,597,0,243
S23,598,0,509
S23,599,16,622
S23,600,9,291
S23,601,0,0
S23,602,0,27
S23,603,0,0
S23,604,0,39
S23,605,0,32
S23,606,0,249
S23,607,0,424
S23,608,0,207
