Session,ID,Frame,MotionEnergy
S07,P017,1,58
S07,P017,2,62
S07,P017,3,36
S07,P017,4,14
S07,P017,5,0
S07,P017,6,10
S07,P017,7,50
S07,P017,8,39
S07,P017,9,36
S07,P017,10,8
S07,P017,11,0
S07,P017,12,2
S07,P017,13,12
S07,P017,14,12
S07,P017,15,11
S07,P017,16,2
S07,P017,17,5
S07,P017,18,41
S07,P017,19,55
S07,P017,20,112
S07,P017,21,96
S07,P017,22,147
S07,P017,23,193
S07,P017,24,315
S07,P017,25,309
S07,P017,26,220
S07,P017,27,111
S07,P017,28,26
S07,P017,29,9
S07,P017,30,0
S07,P017,31,0
S07,P017,32,1
S07,P017,33,0
S07,P017,34,0
S07,P017,35,1
S07,P017,36,4
S07,P017,37,50
S07,P017,38,390
S07,P017,39,1064
S07,P017,40,2204
S07,P017,41,3703
S07,P017,42,4621
S07,P017,43,5294
S07,P017,44,5483
S07,P017,45,5203
S07,P017,46,4493
S07,P017,47,3560
S07,P017,48,3546
S07,P017,49,3678
S07,P017,50,3719
S07,P017,51,3721
S07,P017,52,3678
S07,P017,53,3272
S07,P017,54,2686
S07,P017,55,1687
S07,P017,56,1200
S07,P017,57,1063
S07,P017,58,1641
S07,P017,59,1546
S07,P017,60,987
S07,P017,61,402
S07,P017,62,402
S07,P017,63,1066
S07,P017,64,1894
S07,P017,65,2798
S07,P017,66,3313
S07,P017,67,3588
S07,P017,68,3436
S07,P017,69,3592
S07,P017,70,3369
S07,P017,71,2661
S07,P017,72,1920
S07,P017,73,992
S07,P017,74,440
S07,P017,75,527
S07,P017,76,575
S07,P017,77,610
S07,P017,78,508
S07,P017,79,317
S07,P017,80,25
S07,P017,81,197
S07,P017,82,452
S07,P017,83,459
S07,P017,84,427
S07,P017,85,316
S07,P017,86,198
S07,P017,87,152
S07,P017,88,137
S07,P017,89,107
S07,P017,90,63
S07,P017,91,31
S07,P017,92,13
S07,P017,93,21
S07,P017,94,16
S07,P017,95,15
S07,P017,96,8
S07,P017,97,0
S07,P017,98,3
S07,P017,99,13
S07,P017,100,32
S07,P017,101,3
S07,P017,102,0
S07,P017,103,0
S07,P017,104,0
S07,P017,105,0
S07,P017,106,0
S07,P017,107,0
S07,P017,108,0
S07,P017,109,0
S07,P017,110,0
S07,P017,111,0
S07,P017,112,0
S07,P017,113,0
S07,P017,114,0
S07,P017,115,0
S07,P017,116,0
S07,P017,117,0
S07,P017,118,25
S07,P017,119,35
S07,P017,120,11
S07,P017,121,14
S07,P017,122,2
S07,P017,123,1
S07,P017,124,0
S07,P017,125,0
S07,P017,126,0
S07,P017,127,0
S07,P017,128,0
S07,P017,129,0
S07,P017,130,0
S07,P017,131,0
S07,P017,132,0
S07,P017,133,2
S07,P017,134,15
S07,P017,135,50
S07,P017,136,65
S07,P017,137,62
S07,P017,138,83
S07,P017,139,98
S07,P017,140,144
S07,P017,141,113
S07,P017,142,111
S07,P017,143,106
S07,P017,144,94
S07,P017,145,119
S07,P017,146,203
S07,P017,147,234
S07,P017,148,297
S07,P017,149,332
S07,P017,150,299
S07,P017,151,203
S07,P017,152,170
S07,P017,153,132
S07,P017,154,74
S07,P017,155,28
S07,P017,156,2
S07,P017,157,0
S07,P017,158,0
S07,P017,159,1
S07,P017,160,30
S07,P017,161,44
S07,P017,162,64
S07,P017,163,166
S07,P017,164,215
S07,P017,165,188
S07,P017,166,58
S07,P017,167,20
S07,P017,168,24
S07,P017,169,0
S07,P017,170,0
S07,P017,171,0
S07,P017,172,0
S07,P017,173,0
S07,P017,174,0
S07,P017,175,0
S07,P017,176,0
S07,P017,177,0
S07,P017,178,63
S07,P017,179,66
S07,P017,180,0
S07,P017,181,5
S07,P017,182,18
S07,P017,183,15
S07,P017,184,0
S07,P017,185,1
S07,P017,186,4
S07,P017,187,0
S07,P017,188,5
S07,P017,189,0
S07,P017,190,0
S07,P017,191,0
S07,P017,192,0
S07,P017,193,0
S07,P017,194,0
S07,P017,195,27
S07,P017,196,38
S07,P017,197,96
S07,P017,198,309
S07,P017,199,511
S07,P017,200,831
S07,P017,201,994
S07,P017,202,952
S07,P017,203,1067
S07,P017,204,936
S07,P017,205,578
S07,P017,206,531
S07,P017,207,692
S07,P017,208,793
S07,P017,209,734
S07,P017,210,323
S07,P017,211,83
S07,P017,212,363
S07,P017,213,902
S07,P017,214,1024
S07,P017,215,876
S07,P017,216,502
S07,P017,217,275
S07,P017,218,436
S07,P017,219,529
S07,P017,220,335
S07,P017,221,78
S07,P017,222,245
S07,P017,223,626
S07,P017,224,724
S07,P017,225,590
S07,P017,226,208
S07,P017,227,25
S07,P017,228,107
S07,P017,229,196
S07,P017,230,209
S07,P017,231,102
S07,P017,232,25
S07,P017,233,23
S07,P017,234,61
S07,P017,235,94
S07,P017,236,109
S07,P017,237,65
S07,P017,238,39
S07,P017,239,17
S07,P017,240,42
S07,P017,241,69
S07,P017,242,77
S07,P017,243,70
