Session,ID,Frame,MotionEnergy
S10,P022,1,0
S10,P022,2,0
S10,P022,3,0
S10,P022,4,0
S10,P022,5,27
S10,P022,6,6
S10,P022,7,0
S10,P022,8,0
S10,P022,9,0
S10,P022,10,0
S10,P022,11,38
S10,P022,12,48
S10,P022,13,132
S10,P022,14,242
S10,P022,15,316
S10,P022,16,266
S10,P022,17,246
S10,P022,18,224
S10,P022,19,448
S10,P022,20,743
S10,P022,21,842
S10,P022,22,780
S10,P022,23,711
S10,P022,24,465
S10,P022,25,293
S10,P022,26,2790
S10,P022,27,4507
S10,P022,28,4736
S10,P022,29,3821
S10,P022,30,2591
S10,P022,31,2182
S10,P022,32,1688
S10,P022,33,1020
S10,P022,34,633
S10,P022,35,352
S10,P022,36,97
S10,P022,37,54
S10,P022,38,50
S10,P022,39,17
S10,P022,40,26
S10,P022,41,145
S10,P022,42,780
S10,P022,43,1129
S10,P022,44,1078
S10,P022,45,1238
S10,P022,46,1193
S10,P022,47,2207
S10,P022,48,3087
S10,P022,49,3058
S10,P022,50,2905
S10,P022,51,1384
S10,P022,52,1791
S10,P022,53,2257
S10,P022,54,3400
S10,P022,55,4451
S10,P022,56,5701
S10,P022,57,6864
S10,P022,58,7408
S10,P022,59,8606
S10,P022,60,9750
S10,P022,61,10624
S10,P022,62,11042
S10,P022,63,11384
S10,P022,64,11081
S10,P022,65,9850
S10,P022,66,8058
S10,P022,67,6125
S10,P022,68,3739
S10,P022,69,1858
S10,P022,70,764
S10,P022,71,213
S10,P022,72,97
S10,P022,73,709
S10,P022,74,4049
S10,P022,75,7004
S10,P022,76,8961
S10,P022,77,8700
S10,P022,78,5517
S10,P022,79,5955
S10,P022,80,6328
S10,P022,81,6296
S10,P022,82,6017
S10,P022,83,5486
S10,P022,84,5088
S10,P022,85,4866
S10,P022,86,4194
S10,P022,87,3616
S10,P022,88,2983
S10,P022,89,2406
S10,P022,90,1884
S10,P022,91,1360
S10,P022,92,897
S10,P022,93,508
S10,P022,94,85
S10,P022,95,35
S10,P022,96,36
S10,P022,97,23
S10,P022,98,10
S10,P022,99,24
S10,P022,100,306
S10,P022,101,3756
S10,P022,102,4026
S10,P022,103,308
S10,P022,104,765
S10,P022,105,3148
S10,P022,106,776
S10,P022,107,820
S10,P022,108,474
S10,P022,109,828
S10,P022,110,2733
S10,P022,111,1583
S10,P022,112,139
S10,P022,113,49
S10,P022,114,0
S10,P022,115,40
S10,P022,116,87
S10,P022,117,51
S10,P022,118,17
S10,P022,119,6
S10,P022,120,3
S10,P022,121,14
S10,P022,122,5
S10,P022,123,0
S10,P022,124,38
S10,P022,125,51
S10,P022,126,95
S10,P022,127,137
S10,P022,128,66
S10,P022,129,9
S10,P022,130,0
S10,P022,131,0
S10,P022,132,0
S10,P022,133,0
S10,P022,134,0
S10,P022,135,0
S10,P022,136,0
S10,P022,137,0
S10,P022,138,0
S10,P022,139,2
S10,P022,140,0
S10,P022,141,0
S10,P022,142,0
S10,P022,143,0
S10,P022,144,0
S10,P022,145,0
S10,P022,146,0
