Session,ID,Gesture,Frame,Is_Gesture
S19,P041,Agestural,1,0
S19,P041,Agestural,2,0
S19,P041,Agestural,3,0
S19,P041,Agestural,4,0
S19,P041,Agestural,5,0
S19,P041,Agestural,6,0
S19,P041,Agestural,7,0
S19,P041,Agestural,8,0
S19,P041,Agestural,9,0
S19,P041,Agestural,10,0
S19,P041,Agestural,11,0
S19,P041,Agestural,12,0
S19,P041,Agestural,13,0
S19,P041,Agestural,14,0
S19,P041,Agestural,15,0
S19,P041,Agestural,16,0
S19,P041,Agestural,17,0
S19,P041,Agestural,18,0
S19,P041,Agestural,19,0
S19,P041,Agestural,20,0
S19,P041,Agestural,21,0
S19,P041,Agestural,22,0
S19,P041,Agestural,23,0
S19,P041,Agestural,24,0
S19,P041,Agestural,25,0
S19,P041,Agestural,26,0
S19,P041,Agestural,27,0
S19,P041,Agestural,28,0
S19,P041,Agestural,29,0
S19,P041,Agestural,30,0
S19,P041,Agestural,31,0
S19,P041,Agestural,32,0
S19,P041,Agestural,33,0
S19,P041,Agestural,34,0
S19,P041,Agestural,35,0
S19,P041,Agestural,36,0
S19,P041,Agestural,37,0
S19,P041,Agestural,38,0
S19,P041,Agestural,39,0
S19,P041,Agestural,40,0
S19,P041,Agestural,41,0
S19,P041,Agestural,42,0
S19,P041,Agestural,43,0
S19,P041,Agestural,44,0
S19,P041,Agestural,45,0
S19,P041,Agestural,46,0
S19,P041,Agestural,47,0
S19,P041,Agestural,48,0
S19,P041,Agestural,49,0
S19,P041,Agestural,50,0
S19,P041,Agestural,51,0
S19,P041,Agestural,52,0
S19,P041,Agestural,53,0
S19,P041,Agestural,54,0
S19,P041,Agestural,55,0
S19,P041,Agestural,56,0
S19,P041,Agestural,57,0
S19,P041,Agestural,58,0
S19,P041,Agestural,59,0
S19,P041,Agestural,60,0
S19,P041,Agestural,61,0
S19,P041,Agestural,62,0
S19,P041,Agestural,63,0
S19,P041,Agestural,64,0
S19,P041,Agestural,65,0
S19,P041,Agestural,66,0
S19,P041,Agestural,67,0
S19,P041,Agestural,68,0
S19,P041,Agestural,69,0
S19,P041,Agestural,70,0
S19,P041,Agestural,71,0
S19,P041,Agestural,72,0
S19,P041,Agestural,73,0
S19,P041,Agestural,74,0
S19,P041,Agestural,75,0
S19,P041,Agestural,76,0
S19,P041,Agestural,77,0
S19,P041,Agestural,78,0
S19,P041,Agestural,79,0
S19,P041,Agestural,80,0
S19,P041,Agestural,81,0
S19,P041,Agestural,82,0
S19,P041,Agestural,83,0
S19,P041,Agestural,84,0
S19,P041,Agestural,85,0
S19,P041,Agestural,86,0
S19,P041,Agestural,87,0
S19,P041,Agestural,88,0
S19,P041,Agestural,89,0
S19,P041,Agestural,90,0
S19,P041,Agestural,91,0
S19,P041,Agestural,92,0
S19,P041,Agestural,93,0
S19,P041,Agestural,94,0
S19,P041,Agestural,95,0
S19,P041,Agestural,96,0
S19,P041,Agestural,97,0
S19,P041,Agestural,98,0
S19,P041,Agestural,99,0
S19,P041,Agestural,100,0
S19,P041,Agestural,101,0
S19,P041,Agestural,102,0
S19,P041,Agestural,103,0
S19,P041,Agestural,104,0
S19,P041,Agestural,105,0
S19,P041,Agestural,106,0
S19,P041,Agestural,107,0
S19,P041,Agestural,108,0
S19,P041,Agestural,109,0
S19,P041,Agestural,110,0
S19,P041,Agestural,111,0
S19,P041,Agestural,112,0
S19,P041,Agestural,113,0
S19,P041,Agestural,114,0
S19,P041,Agestural,115,0
S19,P041,Agestural,116,0
S19,P041,Agestural,117,0
S19,P041,Agestural,118,0
S19,P041,Agestural,119,0
S19,P041,Agestural,120,0
S19,P041,Agestural,121,0
S19,P041,Agestural,122,0
S19,P041,Agestural,123,0
S19,P041,Agestural,124,0
S19,P041,Agestural,125,0
S19,P041,Agestural,126,0
S19,P041,Agestural,127,0
S19,P041,Agestural,128,0
S19,P041,Agestural,129,0
S19,P041,N/A,130,5
S19,P041,N/A,131,5
S19,P041,N/A,132,5
S19,P041,N/A,133,5
S19,P041,N/A,134,5
S19,P041,N/A,135,5
S19,P041,N/A,136,5
S19,P041,N/A,137,5
S19,P041,N/A,138,5
S19,P041,N/A,139,5
S19,P041,N/A,140,5
S19,P041,N/A,141,5
S19,P041,N/A,142,5
S19,P041,N/A,143,5
S19,P041,N/A,144,5
S19,P041,N/A,145,5
S19,P041,N/A,146,5
S19,P041,N/A,147,5
S19,P041,N/A,148,5
S19,P041,N/A,149,5
S19,P041,N/A,150,5
S19,P041,N/A,151,5
S19,P041,N/A,152,5
S19,P041,N/A,153,5
S19,P041,N/A,154,5
S19,P041,N/A,155,5
S19,P041,N/A,156,5
S19,P041,N/A,157,5
S19,P041,N/A,158,5
S19,P041,N/A,159,5
S19,P041,N/A,160,5
S19,P041,Agestural,161,0
S19,P041,Agestural,162,0
S19,P041,N/A,163,5
S19,P041,N/A,164,5
S19,P041,N/A,165,5
S19,P041,N/A,166,5
S19,P041,N/A,167,5
S19,P041,N/A,168,5
S19,P041,N/A,169,5
S19,P041,N/A,170,5
S19,P041,N/A,171,5
S19,P041,N/A,172,5
S19,P041,N/A,173,5
S19,P041,N/A,174,5
S19,P041,N/A,175,5
S19,P041,N/A,176,5
S19,P041,N/A,177,5
S19,P041,N/A,178,5
S19,P041,N/A,179,5
S19,P041,N/A,180,5
S19,P041,N/A,181,5
S19,P041,N/A,182,5
S19,P041,N/A,183,5
S19,P041,N/A,184,5
S19,P041,N/A,185,5
S19,P041,N/A,186,5
S19,P041,N/A,187,5
S19,P041,N/A,188,5
S19,P041,N/A,189,5
S19,P041,N/A,190,5
S19,P041,N/A,191,5
S19,P041,N/A,192,5
S19,P041,N/A,193,5
S19,P041,N/A,194,5
S19,P041,N/A,195,5
S19,P041,N/A,196,5
S19,P041,N/A,197,5
S19,P041,N/A,198,5
S19,P041,N/A,199,5
S19,P041,N/A,200,5
S19,P041,N/A,201,5
S19,P041,N/A,202,5
S19,P041,N/A,203,5
S19,P041,N/A,204,5
S19,P041,N/A,205,5
S19,P041,N/A,206,5
S19,P041,N/A,207,5
S19,P041,N/A,208,5
S19,P041,N/A,209,5
S19,P041,N/A,210,5
S19,P041,N/A,211,5
S19,P041,N/A,212,5
S19,P041,N/A,213,5
S19,P041,N/A,214,5
S19,P041,N/A,215,5
S19,P041,N/A,216,5
S19,P041,N/A,217,5
S19,P041,N/A,218,5
S19,P041,N/A,219,5
S19,P041,N/A,220,5
S19,P041,N/A,221,5
S19,P041,N/A,222,5
S19,P041,N/A,223,5
S19,P041,N/A,224,5
S19,P041,N/A,225,5
S19,P041,N/A,226,5
S19,P041,N/A,227,5
S19,P041,N/A,228,5
S19,P041,N/A,229,5
S19,P041,N/A,230,5
S19,P041,N/A,231,5
S19,P041,N/A,232,5
S19,P041,Agestural,233,0
S19,P041,Agestural,234,0
S19,P041,Agestural,235,0
S19,P041,Agestural,236,0
S19,P041,Agestural,237,0
S19,P041,Agestural,238,0
S19,P041,Agestural,239,0
