Session,ID,Gesture,Frame,Is_Gesture
S02,P007,Agestural,1,0
S02,P007,Agestural,2,0
S02,P007,Agestural,3,0
S02,P007,Agestural,4,0
S02,P007,Agestural,5,0
S02,P007,Agestural,6,0
S02,P007,Agestural,7,0
S02,P007,Agestural,8,0
S02,P007,Agestural,9,0
S02,P007,Agestural,10,0
S02,P007,Agestural,11,0
S02,P007,Agestural,12,0
S02,P007,Agestural,13,0
S02,P007,Agestural,14,0
S02,P007,Agestural,15,0
S02,P007,Agestural,16,0
S02,P007,Agestural,17,0
S02,P007,Agestural,18,0
S02,P007,Agestural,19,0
S02,P007,Agestural,20,0
S02,P007,Agestural,21,0
S02,P007,Agestural,22,0
S02,P007,Agestural,23,0
S02,P007,Agestural,24,0
S02,P007,Agestural,25,0
S02,P007,Agestural,26,0
S02,P007,Agestural,27,0
S02,P007,Agestural,28,0
S02,P007,Agestural,29,0
S02,P007,Agestural,30,0
S02,P007,Agestural,31,0
S02,P007,Agestural,32,0
S02,P007,Agestural,33,0
S02,P007,Agestural,34,0
S02,P007,Agestural,35,0
S02,P007,Agestural,36,0
S02,P007,Agestural,37,0
S02,P007,Agestural,38,0
S02,P007,Agestural,39,0
S02,P007,Agestural,40,0
S02,P007,Agestural,41,0
S02,P007,Agestural,42,0
S02,P007,Agestural,43,0
S02,P007,Agestural,44,0
S02,P007,Agestural,45,0
S02,P007,Agestural,46,0
S02,P007,Agestural,47,0
S02,P007,Agestural,48,0
S02,P007,Agestural,49,0
S02,P007,Agestural,50,0
S02,P007,Symbolic,51,4
S02,P007,Symbolic,52,4
S02,P007,Symbolic,53,4
S02,P007,Symbolic,54,4
S02,P007,Symbolic,55,4
S02,P007,Symbolic,56,4
S02,P007,Symbolic,57,4
S02,P007,Symbolic,58,4
S02,P007,Symbolic,59,4
S02,P007,Symbolic,60,4
S02,P007,Symbolic,61,4
S02,P007,Symbolic,62,4
S02,P007,Symbolic,63,4
S02,P007,Symbolic,64,4
S02,P007,Symbolic,65,4
S02,P007,Symbolic,66,4
S02,P007,Symbolic,67,4
S02,P007,Symbolic,68,4
S02,P007,Symbolic,69,4
S02,P007,Symbolic,70,4
S02,P007,Symbolic,71,4
S02,P007,Symbolic,72,4
S02,P007,Symbolic,73,4
S02,P007,Symbolic,74,4
S02,P007,Symbolic,75,4
S02,P007,Symbolic,76,4
S02,P007,Symbolic,77,4
S02,P007,Symbolic,78,4
S02,P007,Symbolic,79,4
S02,P007,Symbolic,80,4
S02,P007,Symbolic,81,4
S02,P007,Symbolic,82,4
S02,P007,Symbolic,83,4
S02,P007,Symbolic,84,4
S02,P007,Symbolic,85,4
S02,P007,Symbolic,86,4
S02,P007,Symbolic,87,4
S02,P007,Symbolic,88,4
S02,P007,Symbolic,89,4
S02,P007,Symbolic,90,4
S02,P007,Symbolic,91,4
S02,P007,Symbolic,92,4
S02,P007,Agestural,93,0
S02,P007,Agestural,94,0
S02,P007,Agestural,95,0
S02,P007,Agestural,96,0
S02,P007,Agestural,97,0
S02,P007,Agestural,98,0
S02,P007,Agestural,99,0
S02,P007,Agestural,100,0
S02,P007,Agestural,101,0
S02,P007,Agestural,102,0
S02,P007,Agestural,103,0
S02,P007,Agestural,104,0
S02,P007,Agestural,105,0
S02,P007,Agestural,106,0
S02,P007,Agestural,107,0
S02,P007,Agestural,108,0
S02,P007,Agestural,109,0
S02,P007,Agestural,110,0
S02,P007,Agestural,111,0
S02,P007,Agestural,112,0
S02,P007,Agestural,113,0
S02,P007,Agestural,114,0
S02,P007,Agestural,115,0
S02,P007,Agestural,116,0
S02,P007,Agestural,117,0
S02,P007,Agestural,118,0
S02,P007,Agestural,119,0
S02,P007,Agestural,120,0
S02,P007,Agestural,121,0
S02,P007,Agestural,122,0
S02,P007,Agestural,123,0
S02,P007,Agestural,124,0
S02,P007,Agestural,125,0
S02,P007,Agestural,126,0
S02,P007,Agestural,127,0
S02,P007,Agestural,128,0
S02,P007,Agestural,129,0
S02,P007,Agestural,130,0
S02,P007,Agestural,131,0
S02,P007,Agestural,132,0
S02,P007,Agestural,133,0
S02,P007,Agestural,134,0
S02,P007,Agestural,135,0
S02,P007,Agestural,136,0
S02,P007,Agestural,137,0
S02,P007,Agestural,138,0
S02,P007,Agestural,139,0
S02,P007,Agestural,140,0
S02,P007,Agestural,141,0
S02,P007,Agestural,142,0
S02,P007,Agestural,143,0
S02,P007,Agestural,144,0
S02,P007,Agestural,145,0
