Session,ID,Frame,MotionEnergy
S21,P045,1,96
S21,P045,2,73
S21,P045,3,332
S21,P045,4,476
S21,P045,5,564
S21,P045,6,501
S21,P045,7,469
S21,P045,8,401
S21,P045,9,298
S21,P045,10,205
S21,P045,11,97
S21,P045,12,64
S21,P045,13,11
S21,P045,14,7
S21,P045,15,13
S21,P045,16,15
S21,P045,17,6
S21,P045,18,0
S21,P045,19,0
S21,P045,20,0
S21,P045,21,0
S21,P045,22,4
S21,P045,23,141
S21,P045,24,680
S21,P045,25,1589
S21,P045,26,2873
S21,P045,27,3464
S21,P045,28,3312
S21,P045,29,3116
S21,P045,30,3207
S21,P045,31,3070
S21,P045,32,2376
S21,P045,33,1889
S21,P045,34,1615
S21,P045,35,1529
S21,P045,36,1459
S21,P045,37,1476
S21,P045,38,1372
S21,P045,39,1370
S21,P045,40,1298
S21,P045,41,1245
S21,P045,42,1147
S21,P045,43,1163
S21,P045,44,1437
S21,P045,45,2031
S21,P045,46,2235
S21,P045,47,2365
S21,P045,48,2380
S21,P045,49,1917
S21,P045,50,1152
S21,P045,51,692
S21,P045,52,572
S21,P045,53,1418
S21,P045,54,1877
S21,P045,55,1984
S21,P045,56,1776
S21,P045,57,1186
S21,P045,58,766
S21,P045,59,197
S21,P045,60,380
S21,P045,61,469
S21,P045,62,412
S21,P045,63,148
S21,P045,64,258
S21,P045,65,417
S21,P045,66,513
S21,P045,67,574
S21,P045,68,762
S21,P045,69,910
S21,P045,70,702
S21,P045,71,441
S21,P045,72,387
S21,P045,73,264
S21,P045,74,94
S21,P045,75,15
S21,P045,76,2
S21,P045,77,53
S21,P045,78,105
S21,P045,79,148
S21,P045,80,295
S21,P045,81,369
S21,P045,82,334
S21,P045,83,243
S21,P045,84,221
S21,P045,85,179
S21,P045,86,87
S21,P045,87,36
S21,P045,88,2
S21,P045,89,0
S21,P045,90,3
S21,P045,91,16
S21,P045,92,37
S21,P045,93,57
S21,P045,94,69
S21,P045,95,51
S21,P045,96,35
S21,P045,97,46
S21,P045,98,193
S21,P045,99,310
S21,P045,100,396
S21,P045,101,442
S21,P045,102,378
S21,P045,103,359
S21,P045,104,371
S21,P045,105,488
S21,P045,106,484
S21,P045,107,556
S21,P045,108,665
S21,P045,109,658
S21,P045,110,740
S21,P045,111,811
S21,P045,112,817
S21,P045,113,829
S21,P045,114,716
S21,P045,115,797
S21,P045,116,1315
S21,P045,117,1449
S21,P045,118,1570
S21,P045,119,1615
S21,P045,120,1542
S21,P045,121,1163
S21,P045,122,650
S21,P045,123,810
S21,P045,124,1212
S21,P045,125,1077
S21,P045,126,1046
S21,P045,127,928
S21,P045,128,931
S21,P045,129,766
S21,P045,130,477
S21,P045,131,282
S21,P045,132,245
S21,P045,133,161
S21,P045,134,262
S21,P045,135,528
S21,P045,136,558
S21,P045,137,660
S21,P045,138,799
S21,P045,139,689
S21,P045,140,527
S21,P045,141,623
S21,P045,142,380
S21,P045,143,35
S21,P045,144,157
S21,P045,145,726
S21,P045,146,938
S21,P045,147,678
S21,P045,148,393
S21,P045,149,424
S21,P045,150,313
S21,P045,151,449
S21,P045,152,552
S21,P045,153,632
S21,P045,154,793
S21,P045,155,947
S21,P045,156,689
S21,P045,157,424
S21,P045,158,25
S21,P045,159,40
S21,P045,160,303
S21,P045,161,586
S21,P045,162,469
S21,P045,163,374
S21,P045,164,213
S21,P045,165,78
S21,P045,166,23
S21,P045,167,1
S21,P045,168,7
S21,P045,169,23
S21,P045,170,156
S21,P045,171,240
S21,P045,172,188
S21,P045,173,96
S21,P045,174,29
S21,P045,175,2
S21,P045,176,99
S21,P045,177,314
S21,P045,178,413
S21,P045,179,299
S21,P045,180,87
S21,P045,181,39
S21,P045,182,35
S21,P045,183,135
S21,P045,184,208
S21,P045,185,395
S21,P045,186,419
S21,P045,187,477
S21,P045,188,398
S21,P045,189,405
S21,P045,190,433
S21,P045,191,412
S21,P045,192,426
S21,P045,193,429
S21,P045,194,309
S21,P045,195,155
S21,P045,196,59
S21,P045,197,24
S21,P045,198,13
S21,P045,199,23
S21,P045,200,4
S21,P045,201,0
S21,P045,202,0
S21,P045,203,0
S21,P045,204,136
S21,P045,205,550
S21,P045,206,573
S21,P045,207,399
S21,P045,208,195
S21,P045,209,49
S21,P045,210,12
S21,P045,211,7
S21,P045,212,15
S21,P045,213,47
S21,P045,214,111
S21,P045,215,88
S21,P045,216,31
S21,P045,217,14
S21,P045,218,4
S21,P045,219,0
S21,P045,220,0
S21,P045,221,0
S21,P045,222,1
S21,P045,223,0
S21,P045,224,0
S21,P045,225,6
S21,P045,226,2
S21,P045,227,4
S21,P045,228,0
S21,P045,229,1
S21,P045,230,0
S21,P045,231,0
S21,P045,232,0
S21,P045,233,0
S21,P045,234,0
S21,P045,235,0
S21,P045,236,0
S21,P045,237,0
S21,P045,238,0
S21,P045,239,0
S21,P045,240,0
S21,P045,241,0
S21,P045,242,0
S21,P045,243,0
S21,P045,244,0
S21,P045,245,0
S21,P045,246,0
S21,P045,247,0
S21,P045,248,0
S21,P045,249,0
S21,P045,250,0
S21,P045,251,0
S21,P045,252,0
S21,P045,253,0
S21,P045,254,0
S21,P045,255,0
S21,P045,256,0
S21,P045,257,0
S21,P045,258,0
S21,P045,259,0
S21,P045,260,0
S21,P045,261,0
S21,P045,262,0
S21,P045,263,0
S21,P045,264,2
S21,P045,265,13
S21,P045,266,9
S21,P045,267,0
S21,P045,268,0
S21,P045,269,0
S21,P045,270,0
S21,P045,271,0
S21,P045,272,0
S21,P045,273,0
S21,P045,274,23
S21,P045,275,79
S21,P045,276,110
S21,P045,277,142
S21,P045,278,88
S21,P045,279,103
S21,P045,280,99
S21,P045,281,101
S21,P045,282,95
S21,P045,283,17
S21,P045,284,10
S21,P045,285,0
S21,P045,286,0
S21,P045,287,0
S21,P045,288,0
S21,P045,289,0
S21,P045,290,1
S21,P045,291,22
S21,P045,292,37
S21,P045,293,37
S21,P045,294,43
S21,P045,295,93
S21,P045,296,98
S21,P045,297,118
S21,P045,298,146
S21,P045,299,82
S21,P045,300,51
S21,P045,301,7
S21,P045,302,0
S21,P045,303,0
S21,P045,304,4
S21,P045,305,0
S21,P045,306,6
S21,P045,307,0
S21,P045,308,0
S21,P045,309,0
S21,P045,310,0
S21,P045,311,0
S21,P045,312,0
S21,P045,313,0
S21,P045,314,0
S21,P045,315,0
S21,P045,316,0
S21,P045,317,0
S21,P045,318,0
S21,P045,319,0
S21,P045,320,0
S21,P045,321,0
S21,P045,322,0
S21,P045,323,3
S21,P045,324,1
S21,P045,325,0
S21,P045,326,0
S21,P045,327,0
S21,P045,328,0
S21,P045,329,0
S21,P045,330,0
S21,P045,331,0
S21,P045,332,0
S21,P045,333,0
S21,P045,334,0
S21,P045,335,0
S21,P045,336,0
S21,P045,337,0
S21,P045,338,1
S21,P045,339,0
S21,P045,340,0
S21,P045,341,0
S21,P045,342,0
S21,P045,343,0
S21,P045,344,0
S21,P045,345,0
S21,P045,346,0
S21,P045,347,0
S21,P045,348,0
S21,P045,349,0
S21,P045,350,0
S21,P045,351,0
S21,P045,352,0
S21,P045,353,0
S21,P045,354,0
S21,P045,355,0
S21,P045,356,0
S21,P045,357,0
S21,P045,358,0
S21,P045,359,0
S21,P045,360,0
S21,P045,361,0
S21,P045,362,0
S21,P045,363,0
S21,P045,364,0
S21,P045,365,0
S21,P045,366,0
S21,P045,367,1
S21,P045,368,5
S21,P045,369,15
S21,P045,370,26
S21,P045,371,20
S21,P045,372,17
S21,P045,373,6
S21,P045,374,10
S21,P045,375,22
S21,P045,376,10
S21,P045,377,3
S21,P045,378,0
S21,P045,379,0
S21,P045,380,0
S21,P045,381,0
S21,P045,382,0
S21,P045,383,0
S21,P045,384,3
S21,P045,385,7
S21,P045,386,19
S21,P045,387,21
S21,P045,388,43
S21,P045,389,38
S21,P045,390,42
S21,P045,391,14
S21,P045,392,5
S21,P045,393,0
S21,P045,394,0
S21,P045,395,0
S21,P045,396,0
S21,P045,397,0
S21,P045,398,0
S21,P045,399,0
S21,P045,400,0
S21,P045,401,0
S21,P045,402,0
S21,P045,403,0
S21,P045,404,0
S21,P045,405,0
S21,P045,406,0
S21,P045,407,5
S21,P045,408,0
S21,P045,409,0
S21,P045,410,0
S21,P045,411,0
S21,P045,412,0
S21,P045,413,0
S21,P045,414,0
S21,P045,415,0
S21,P045,416,0
S21,P045,417,0
S21,P045,418,0
S21,P045,419,0
S21,P045,420,0
S21,P045,421,0
S21,P045,422,0
S21,P045,423,0
S21,P045,424,0
S21,P045,425,0
S21,P045,426,0
S21,P045,427,0
S21,P045,428,0
S21,P045,429,0
S21,P045,430,0
S21,P045,431,0
S21,P045,432,0
S21,P045,433,0
S21,P045,434,0
S21,P045,435,0
S21,P045,436,0
S21,P045,437,3
S21,P045,438,0
S21,P045,439,0
S21,P045,440,0
S21,P045,441,0
S21,P045,442,0
S21,P045,443,0
S21,P045,444,0
S21,P045,445,0
S21,P045,446,0
S21,P045,447,0
S21,P045,448,0
S21,P045,449,0
S21,P045,450,5
S21,P045,451,3
S21,P045,452,63
S21,P045,453,153
S21,P045,454,148
S21,P045,455,57
S21,P045,456,8
S21,P045,457,0
S21,P045,458,0
S21,P045,459,0
S21,P045,460,0
S21,P045,461,0
S21,P045,462,0
S21,P045,463,0
S21,P045,464,0
S21,P045,465,0
S21,P045,466,2
S21,P045,467,0
S21,P045,468,18
S21,P045,469,2
S21,P045,470,4
S21,P045,471,1
S21,P045,472,0
S21,P045,473,3
S21,P045,474,4
S21,P045,475,0
S21,P045,476,0
S21,P045,477,0
S21,P045,478,0
S21,P045,479,0
S21,P045,480,0
S21,P045,481,0
S21,P045,482,0
S21,P045,483,0
S21,P045,484,0
S21,P045,485,0
S21,P045,486,0
S21,P045,487,0
S21,P045,488,0
S21,P045,489,0
S21,P045,490,0
S21,P045,491,0
S21,P045,492,0
S21,P045,493,0
S21,P045,494,0
S21,P045,495,0
S21,P045,496,0
S21,P045,497,0
S21,P045,498,0
S21,P045,499,0
S21,P045,500,0
S21,P045,501,0
S21,P045,502,0
S21,P045,503,0
S21,P045,504,0
S21,P045,505,0
S21,P045,506,0
S21,P045,507,0
S21,P045,508,0
S21,P045,509,0
S21,P045,510,0
S21,P045,511,0
S21,P045,512,0
S21,P045,513,0
S21,P045,514,0
S21,P045,515,0
S21,P045,516,0
S21,P045,517,8
S21,P045,518,9
S21,P045,519,40
S21,P045,520,49
S21,P045,521,58
S21,P045,522,76
S21,P045,523,71
S21,P045,524,43
S21,P045,525,38
S21,P045,526,9
S21,P045,527,3
S21,P045,528,2
S21,P045,529,3
S21,P045,530,2
S21,P045,531,0
S21,P045,532,1
S21,P045,533,4
S21,P045,534,7
S21,P045,535,14
S21,P045,536,19
S21,P045,537,6
S21,P045,538,0
S21,P045,539,9
S21,P045,540,13
S21,P045,541,26
S21,P045,542,18
S21,P045,543,22
S21,P045,544,3
S21,P045,545,0
S21,P045,546,49
S21,P045,547,197
S21,P045,548,318
S21,P045,549,408
S21,P045,550,369
S21,P045,551,298
S21,P045,552,170
S21,P045,553,55
S21,P045,554,10
S21,P045,555,26
S21,P045,556,71
S21,P045,557,63
S21,P045,558,176
S21,P045,559,191
S21,P045,560,79
S21,P045,561,212
S21,P045,562,240
S21,P045,563,16
S21,P045,564,1
S21,P045,565,2
S21,P045,566,3
S21,P045,567,0
S21,P045,568,0
S21,P045,569,0
S21,P045,570,0
S21,P045,571,0
S21,P045,572,3
S21,P045,573,21
S21,P045,574,32
S21,P045,575,49
S21,P045,576,49
S21,P045,577,7
S21,P045,578,3
S21,P045,579,20
S21,P045,580,16
S21,P045,581,8
S21,P045,582,7
S21,P045,583,0
S21,P045,584,0
S21,P045,585,0
S21,P045,586,0
S21,P045,587,0
S21,P045,588,0
S21,P045,589,5
S21,P045,590,5
S21,P045,591,24
S21,P045,592,129
S21,P045,593,117
S21,P045,594,98
S21,P045,595,89
S21,P045,596,121
S21,P045,597,167
S21,P045,598,169
S21,P045,599,94
S21,P045,600,9
S21,P045,601,4
S21,P045,602,52
S21,P045,603,61
S21,P045,604,69
S21,P045,605,2
S21,P045,606,0
S21,P045,607,0
S21,P045,608,0
S21,P045,609,0
S21,P045,610,0
S21,P045,611,0
S21,P045,612,0
S21,P045,613,0
S21,P045,614,0
S21,P045,615,0
S21,P045,616,0
S21,P045,617,0
S21,P045,618,0
S21,P045,619,0
