Session,Frame,LeftPlayerMotion,RightPlayerMotion
S13,1,7674,3561
S13,2,8592,3122
S13,3,8765,2473
S13,4,8485,1699
S13,5,8054,1289
S13,6,7545,815
S13,7,6915,501
S13,8,6385,1038
S13,9,5613,1641
S13,10,4912,1861
S13,11,4158,1537
S13,12,3857,988
S13,13,3665,1024
S13,14,3211,1695
S13,15,2868,2197
S13,16,2355,2705
S13,17,1997,3005
S13,18,1701,3092
S13,19,1658,2933
S13,20,1496,2678
S13,21,1526,2171
S13,22,1166,1289
S13,23,942,956
S13,24,457,718
S13,25,373,544
S13,26,765,272
S13,27,1086,163
S13,28,1415,122
S13,29,1664,88
S13,30,1880,80
S13,31,2021,41
S13,32,2076,0
S13,33,2102,0
S13,34,2185,6
S13,35,2141,62
S13,36,2081,134
S13,37,2093,88
S13,38,2027,29
S13,39,1886,167
S13,40,1706,295
S13,41,1321,346
S13,42,858,420
S13,43,582,367
S13,44,327,299
S13,45,199,286
S13,46,83,245
S13,47,3,258
S13,48,0,115
S13,49,0,39
S13,50,0,84
S13,51,0,240
S13,52,5,337
S13,53,109,407
S13,54,223,436
S13,55,281,322
S13,56,336,81
S13,57,360,169
S13,58,348,380
S13,59,298,449
S13,60,311,596
S13,61,337,833
S13,62,421,1423
S13,63,378,2099
S13,64,343,3030
S13,65,357,3614
S13,66,426,3591
S13,67,422,3845
S13,68,464,4072
S13,69,426,3950
S13,70,457,3757
S13,71,562,3514
S13,72,680,3276
S13,73,1003,2774
S13,74,813,2187
S13,75,527,1341
S13,76,119,735
S13,77,79,423
S13,78,236,402
S13,79,630,208
S13,80,880,203
S13,81,817,304
S13,82,811,298
S13,83,748,126
S13,84,733,14
S13,85,800,48
S13,86,908,49
S13,87,986,62
S13,88,989,80
S13,89,1097,59
S13,90,1183,1
S13,91,1169,0
S13,92,1201,5
S13,93,1254,71
S13,94,1193,107
S13,95,1107,148
S13,96,976,85
S13,97,841,35
S13,98,655,14
S13,99,397,2
S13,100,182,0
S13,101,96,0
S13,102,12,0
S13,103,0,19
S13,104,0,25
S13,105,0,0
S13,106,0,0
S13,107,16,0
S13,108,128,0
S13,109,239,0
S13,110,318,6
S13,111,368,0
S13,112,371,0
S13,113,329,38
S13,114,311,240
S13,115,280,534
S13,116,189,919
S13,117,80,1221
S13,118,9,1766
S13,119,0,2252
S13,120,0,2933
S13,121,0,3514
S13,122,0,4226
S13,123,0,4993
S13,124,0,5582
S13,125,0,5903
S13,126,0,5320
S13,127,0,4289
S13,128,0,2806
S13,129,0,1721
S13,130,0,1344
S13,131,43,1239
S13,132,101,1223
S13,133,154,1151
S13,134,103,1003
S13,135,33,767
S13,136,0,620
S13,137,0,859
S13,138,0,898
S13,139,0,577
S13,140,0,277
S13,141,0,84
S13,142,0,40
S13,143,0,200
S13,144,0,297
S13,145,0,160
S13,146,0,124
S13,147,0,114
S13,148,0,86
S13,149,0,27
S13,150,0,8
S13,151,0,4
S13,152,0,11
S13,153,0,46
S13,154,0,27
S13,155,0,9
S13,156,0,1
S13,157,0,0
S13,158,0,0
S13,159,0,2
S13,160,0,13
S13,161,0,14
S13,162,0,55
S13,163,0,61
S13,164,0,78
S13,165,1,75
S13,166,0,41
