Session,Frame,LeftPlayerMotion,RightPlayerMotion
S03,1,499,3543
S03,2,510,4496
S03,3,548,6141
S03,4,504,4796
S03,5,395,6769
S03,6,148,1812
S03,7,59,1918
S03,8,16,1519
S03,9,11,910
S03,10,10,685
S03,11,3,1153
S03,12,0,1196
S03,13,0,932
S03,14,0,352
S03,15,0,590
S03,16,0,901
S03,17,0,894
S03,18,0,454
S03,19,0,326
S03,20,0,513
S03,21,0,417
S03,22,0,200
S03,23,0,121
S03,24,0,449
S03,25,1,501
S03,26,5,211
S03,27,7,420
S03,28,6,547
S03,29,7,572
S03,30,3,538
S03,31,0,204
S03,32,0,13
S03,33,1,186
S03,34,46,350
S03,35,184,426
S03,36,804,272
S03,37,1361,8
S03,38,1641,144
S03,39,1487,259
S03,40,804,34
S03,41,142,96
S03,42,45,315
S03,43,711,230
S03,44,1736,0
S03,45,2260,45
S03,46,2310,137
S03,47,2117,207
S03,48,1447,392
S03,49,690,371
S03,50,206,222
S03,51,41,34
S03,52,69,70
S03,53,260,244
S03,54,562,374
S03,55,649,278
S03,56,596,74
S03,57,416,5
S03,58,372,82
S03,59,269,160
S03,60,55,98
S03,61,1,22
S03,62,33,0
S03,63,3,0
S03,64,6,10
S03,65,13,14
S03,66,13,4
S03,67,5,94
S03,68,7,161
S03,69,0,236
S03,70,0,262
S03,71,0,139
S03,72,0,162
S03,73,0,292
S03,74,0,164
S03,75,0,3
S03,76,0,34
S03,77,0,118
S03,78,0,27
S03,79,0,18
S03,80,0,126
S03,81,0,73
S03,82,0,5
S03,83,0,93
S03,84,0,135
S03,85,0,4
S03,86,0,4
S03,87,0,111
S03,88,0,159
S03,89,0,17
S03,90,1,0
S03,91,0,52
S03,92,0,71
S03,93,62,25
S03,94,174,5
S03,95,454,6
S03,96,802,18
S03,97,799,2
S03,98,420,0
S03,99,120,0
S03,100,22,0
S03,101,0,0
S03,102,0,80
S03,103,2,133
S03,104,1,107
S03,105,1,0
S03,106,4,78
S03,107,10,108
S03,108,39,22
S03,109,43,0
S03,110,40,141
S03,111,29,115
S03,112,44,18
S03,113,20,0
S03,114,39,1
S03,115,26,4
S03,116,17,0
S03,117,11,0
S03,118,2,0
S03,119,0,0
S03,120,0,0
S03,121,1,0
S03,122,0,0
S03,123,0,0
S03,124,0,0
S03,125,0,0
S03,126,0,0
S03,127,0,0
S03,128,0,1
S03,129,0,0
S03,130,0,0
S03,131,0,0
S03,132,0,0
S03,133,0,0
S03,134,0,0
S03,135,0,0
S03,136,0,0
S03,137,0,0
S03,138,1,25
S03,139,40,31
S03,140,767,0
S03,141,1550,23
S03,142,1813,120
S03,143,1793,0
S03,144,1201,27
S03,145,732,211
S03,146,461,128
S03,147,154,320
S03,148,46,501
S03,149,7,462
S03,150,0,127
S03,151,0,665
