Session,Frame,LeftPlayerMotion,RightPlayerMotion
S14,1,1170,19963
S14,2,949,1697
S14,3,1287,2359
S14,4,1139,2985
S14,5,1332,2792
S14,6,1562,3259
S14,7,1309,3094
S14,8,1100,2144
S14,9,987,1847
S14,10,864,2423
S14,11,656,1974
S14,12,426,2175
S14,13,148,2531
S14,14,21,1358
S14,15,46,1065
S14,16,195,862
S14,17,468,518
S14,18,737,814
S14,19,889,987
S14,20,956,1205
S14,21,1035,970
S14,22,1141,991
S14,23,1146,1051
S14,24,1094,1019
S14,25,1079,1252
S14,26,991,1263
S14,27,802,1503
S14,28,1076,2074
S14,29,1330,2775
S14,30,1286,3441
S14,31,986,4546
S14,32,693,4630
S14,33,827,4476
S14,34,596,3351
S14,35,347,2192
S14,36,43,1496
S14,37,60,1557
S14,38,115,2414
S14,39,14,3238
S14,40,129,3263
S14,41,315,2730
S14,42,396,2017
S14,43,399,2030
S14,44,290,2231
S14,45,209,2328
S14,46,135,2483
S14,47,128,2949
S14,48,105,3218
S14,49,124,2891
S14,50,141,2406
S14,51,127,1746
S14,52,45,1827
S14,53,0,1851
S14,54,0,2039
S14,55,0,1818
S14,56,0,1564
S14,57,0,1090
S14,58,0,464
S14,59,0,439
S14,60,0,383
S14,61,0,488
S14,62,0,564
S14,63,0,656
S14,64,0,662
S14,65,0,497
S14,66,0,302
S14,67,0,160
S14,68,0,89
S14,69,0,26
S14,70,0,10
S14,71,0,8
S14,72,0,21
S14,73,0,41
S14,74,0,19
S14,75,0,12
S14,76,0,0
S14,77,0,0
S14,78,0,0
S14,79,0,0
S14,80,0,0
S14,81,0,0
S14,82,0,0
S14,83,0,0
S14,84,0,15
S14,85,0,254
S14,86,0,741
S14,87,0,847
S14,88,0,667
S14,89,0,321
S14,90,0,58
S14,91,0,15
S14,92,0,27
S14,93,0,126
S14,94,0,161
S14,95,0,137
S14,96,0,83
S14,97,0,82
S14,98,0,71
S14,99,0,42
S14,100,0,14
S14,101,0,3
S14,102,1,6
S14,103,1,4
S14,104,0,7
S14,105,0,2
S14,106,0,0
S14,107,0,0
S14,108,0,0
S14,109,0,0
S14,110,0,0
S14,111,0,0
S14,112,0,0
S14,113,0,0
S14,114,0,0
S14,115,0,0
S14,116,0,0
S14,117,0,0
S14,118,0,0
S14,119,0,0
S14,120,0,0
S14,121,0,0
S14,122,0,90
S14,123,0,2
S14,124,0,13
S14,125,0,20
S14,126,0,0
S14,127,0,0
S14,128,0,0
S14,129,0,0
S14,130,0,0
S14,131,0,0
S14,132,0,0
S14,133,0,0
S14,134,0,0
S14,135,17,0
S14,136,0,0
S14,137,0,0
S14,138,0,0
S14,139,0,0
S14,140,0,0
S14,141,0,0
S14,142,0,0
S14,143,0,0
S14,144,78,0
S14,145,159,0
S14,146,221,0
S14,147,327,5
S14,148,360,357
S14,149,352,859
S14,150,373,908
S14,151,364,453
S14,152,245,44
S14,153,86,0
S14,154,4,38
S14,155,0,177
S14,156,0,477
S14,157,0,726
S14,158,0,994
S14,159,6,1045
S14,160,29,870
S14,161,88,705
S14,162,144,511
S14,163,140,408
S14,164,133,218
S14,165,125,119
S14,166,94,29
S14,167,22,49
S14,168,3,70
S14,169,0,82
S14,170,0,90
S14,171,0,101
S14,172,0,177
S14,173,0,420
S14,174,0,558
S14,175,0,557
S14,176,0,502
S14,177,0,459
S14,178,0,419
S14,179,0,346
S14,180,0,295
S14,181,0,266
S14,182,0,190
S14,183,0,121
