Session,ID,Frame,MotionEnergy
S19,P040,1,80
S19,P040,2,618
S19,P040,3,1416
S19,P040,4,2241
S19,P040,5,2733
S19,P040,6,2145
S19,P040,7,886
S19,P040,8,619
S19,P040,9,1367
S19,P040,10,1745
S19,P040,11,1691
S19,P040,12,1342
S19,P040,13,846
S19,P040,14,308
S19,P040,15,71
S19,P040,16,80
S19,P040,17,350
S19,P040,18,573
S19,P040,19,624
S19,P040,20,458
S19,P040,21,124
S19,P040,22,83
S19,P040,23,39
S19,P040,24,10
S19,P040,25,1
S19,P040,26,26
S19,P040,27,2
S19,P040,28,0
S19,P040,29,0
S19,P040,30,0
S19,P040,31,0
S19,P040,32,0
S19,P040,33,0
S19,P040,34,0
S19,P040,35,13
S19,P040,36,0
S19,P040,37,0
S19,P040,38,0
S19,P040,39,0
S19,P040,40,0
S19,P040,41,0
S19,P040,42,0
S19,P040,43,0
S19,P040,44,0
S19,P040,45,0
S19,P040,46,2
S19,P040,47,258
S19,P040,48,969
S19,P040,49,1278
S19,P040,50,989
S19,P040,51,479
S19,P040,52,324
S19,P040,53,465
S19,P040,54,276
S19,P040,55,339
S19,P040,56,510
S19,P040,57,399
S19,P040,58,226
S19,P040,59,41
S19,P040,60,0
S19,P040,61,29
S19,P040,62,107
S19,P040,63,182
S19,P040,64,166
S19,P040,65,65
S19,P040,66,8
S19,P040,67,0
S19,P040,68,0
S19,P040,69,0
S19,P040,70,0
S19,P040,71,0
S19,P040,72,0
S19,P040,73,0
S19,P040,74,0
S19,P040,75,0
S19,P040,76,0
S19,P040,77,0
S19,P040,78,0
S19,P040,79,0
S19,P040,80,6
S19,P040,81,389
S19,P040,82,1140
S19,P040,83,2134
S19,P040,84,3522
S19,P040,85,5506
S19,P040,86,7260
S19,P040,87,8992
S19,P040,88,10517
S19,P040,89,11680
S19,P040,90,12534
S19,P040,91,12703
S19,P040,92,12329
S19,P040,93,11354
S19,P040,94,9817
S19,P040,95,7909
S19,P040,96,5065
S19,P040,97,2930
S19,P040,98,2061
S19,P040,99,2477
S19,P040,100,4542
S19,P040,101,7239
S19,P040,102,9482
S19,P040,103,11292
S19,P040,104,13130
S19,P040,105,14502
S19,P040,106,15281
S19,P040,107,14704
S19,P040,108,13470
S19,P040,109,12145
S19,P040,110,10257
S19,P040,111,8703
S19,P040,112,6768
S19,P040,113,4638
S19,P040,114,3136
S19,P040,115,2896
S19,P040,116,2882
S19,P040,117,3076
S19,P040,118,4489
S19,P040,119,6339
S19,P040,120,6987
S19,P040,121,5406
S19,P040,122,3310
S19,P040,123,2374
S19,P040,124,2161
S19,P040,125,1954
S19,P040,126,1674
S19,P040,127,1241
S19,P040,128,1246
S19,P040,129,698
S19,P040,130,497
S19,P040,131,581
S19,P040,132,913
S19,P040,133,1633
S19,P040,134,1567
S19,P040,135,868
S19,P040,136,365
S19,P040,137,359
S19,P040,138,1417
S19,P040,139,1777
S19,P040,140,1629
S19,P040,141,1063
S19,P040,142,475
S19,P040,143,527
S19,P040,144,474
S19,P040,145,348
S19,P040,146,242
S19,P040,147,182
S19,P040,148,146
S19,P040,149,66
S19,P040,150,32
S19,P040,151,101
S19,P040,152,41
S19,P040,153,0
S19,P040,154,0
S19,P040,155,3
S19,P040,156,0
S19,P040,157,0
S19,P040,158,0
S19,P040,159,0
S19,P040,160,5
S19,P040,161,0
S19,P040,162,0
S19,P040,163,0
S19,P040,164,2
S19,P040,165,16
S19,P040,166,4
S19,P040,167,0
S19,P040,168,0
S19,P040,169,627
S19,P040,170,1447
S19,P040,171,1599
S19,P040,172,1308
S19,P040,173,751
S19,P040,174,928
S19,P040,175,819
S19,P040,176,818
S19,P040,177,1468
S19,P040,178,1157
S19,P040,179,277
S19,P040,180,219
S19,P040,181,190
S19,P040,182,101
S19,P040,183,30
S19,P040,184,0
S19,P040,185,10
S19,P040,186,17
S19,P040,187,36
S19,P040,188,15
S19,P040,189,0
S19,P040,190,40
S19,P040,191,15
S19,P040,192,0
S19,P040,193,0
S19,P040,194,0
S19,P040,195,0
S19,P040,196,0
S19,P040,197,8
S19,P040,198,0
S19,P040,199,12
S19,P040,200,6
S19,P040,201,45
S19,P040,202,30
S19,P040,203,28
S19,P040,204,1012
S19,P040,205,1984
S19,P040,206,1882
S19,P040,207,970
S19,P040,208,181
S19,P040,209,127
S19,P040,210,658
S19,P040,211,816
S19,P040,212,753
S19,P040,213,236
S19,P040,214,14
S19,P040,215,300
S19,P040,216,420
S19,P040,217,533
S19,P040,218,347
S19,P040,219,208
S19,P040,220,24
S19,P040,221,0
S19,P040,222,38
S19,P040,223,117
S19,P040,224,197
S19,P040,225,118
S19,P040,226,15
S19,P040,227,0
S19,P040,228,0
S19,P040,229,6
S19,P040,230,6
S19,P040,231,0
S19,P040,232,0
S19,P040,233,0
S19,P040,234,0
S19,P040,235,0
S19,P040,236,0
S19,P040,237,0
S19,P040,238,0
S19,P040,239,0
S19,P040,240,0
S19,P040,241,0
S19,P040,242,0
S19,P040,243,0
S19,P040,244,0
S19,P040,245,0
S19,P040,246,0
S19,P040,247,0
S19,P040,248,0
S19,P040,249,0
S19,P040,250,0
S19,P040,251,0
S19,P040,252,0
S19,P040,253,0
S19,P040,254,0
S19,P040,255,0
S19,P040,256,0
S19,P040,257,0
S19,P040,258,0
S19,P040,259,0
S19,P040,260,0
S19,P040,261,0
S19,P040,262,0
S19,P040,263,0
S19,P040,264,0
S19,P040,265,0
S19,P040,266,0
S19,P040,267,0
S19,P040,268,0
S19,P040,269,0
S19,P040,270,0
S19,P040,271,22
S19,P040,272,0
S19,P040,273,10
S19,P040,274,2
S19,P040,275,0
S19,P040,276,0
S19,P040,277,0
S19,P040,278,0
S19,P040,279,0
S19,P040,280,0
S19,P040,281,0
S19,P040,282,0
S19,P040,283,0
S19,P040,284,0
S19,P040,285,0
S19,P040,286,0
S19,P040,287,0
S19,P040,288,0
S19,P040,289,0
S19,P040,290,0
S19,P040,291,0
S19,P040,292,0
S19,P040,293,0
S19,P040,294,0
S19,P040,295,0
S19,P040,296,0
S19,P040,297,0
S19,P040,298,0
S19,P040,299,0
S19,P040,300,0
S19,P040,301,0
S19,P040,302,0
S19,P040,303,0
S19,P040,304,0
S19,P040,305,0
S19,P040,306,0
S19,P040,307,0
S19,P040,308,0
S19,P040,309,0
S19,P040,310,0
S19,P040,311,0
S19,P040,312,0
S19,P040,313,0
S19,P040,314,0
S19,P040,315,0
S19,P040,316,0
S19,P040,317,0
S19,P040,318,0
S19,P040,319,0
S19,P040,320,0
S19,P040,321,0
S19,P040,322,0
S19,P040,323,0
S19,P040,324,23
S19,P040,325,0
S19,P040,326,8
S19,P040,327,8
S19,P040,328,0
S19,P040,329,0
S19,P040,330,0
S19,P040,331,0
S19,P040,332,0
